Round,date,time,place,Opponent,Results
Group A,15/09/2016,18:00,A,Feyenoord,0:1 (0:0)
Group A,29/09/2016,20:05,H,Zorya Lugansk,1:0 (0:0)
Group A,20/10/2016,20:05,H,Fenerbahçe,4:1 (3:0)
Group A,03/11/2016,18:00,A,Fenerbahçe,1:2 (0:1)
Group A,24/11/2016,20:05,H,Feyenoord,4:0 (1:0)
Group A,08/12/2016,18:00,A,Zorya Lugansk,2:0 (0:0)
Round of 32,16/02/2017,20:05,H,AS Saint-Étienne,3:0 (1:0)
Round of 32,22/02/2017,17:00,A,AS Saint-Étienne,1:0 (1:0)
Round of 16,09/03/2017,18:00,A,FK Rostov,1:1 (1:0)
Round of 16,16/03/2017,20:05,H,FK Rostov,1:0 (0:0)
Quarter-finals,13/04/2017,20:05,A,RSC Anderlecht,1:1 (1:0)
Quarter-finals,20/04/2017,20:05,H,RSC Anderlecht,"2:1 (1:1, 1:1) aet"
Semi-finals,04/05/2017,20:05,A,Celta Vigo,1:0 (0:0)
Semi-finals,11/05/2017,20:05,H,Celta Vigo,1:1 (1:0)
Final,24/05/2017,19:45,N,AFC Ajax,2:0 (1:0)
1. Round,14/08/2016,13:30,A,AFC Bournemouth,3:1 (1:0)
2. Round,19/08/2016,20:00,H,Southampton FC,2:0 (1:0)
3. Round,27/08/2016,17:30,A,Hull City,1:0 (0:0)
4. Round,10/09/2016,12:30,H,Manchester City,1:2 (1:2)
5. Round,18/09/2016,12:00,A,Watford FC,1:3 (0:1)
6. Round,24/09/2016,12:30,H,Leicester City,4:1 (4:0)
7. Round,02/10/2016,12:00,H,Stoke City,1:1 (0:0)
8. Round,17/10/2016,20:00,A,Liverpool FC,0:0 (0:0)
9. Round,23/10/2016,16:00,A,Chelsea FC,0:4 (0:2)
10. Round,29/10/2016,15:00,H,Burnley FC,0:0 (0:0)
11. Round,06/11/2016,15:00,A,Swansea City,3:1 (3:0)
12. Round,19/11/2016,12:30,H,Arsenal FC,1:1 (0:0)
13. Round,27/11/2016,16:30,H,West Ham United,1:1 (1:1)
14. Round,04/12/2016,16:00,A,Everton FC,1:1 (1:0)
15. Round,11/12/2016,14:15,H,Tottenham Hotspur,1:0 (1:0)
16. Round,14/12/2016,20:00,A,Crystal Palace,2:1 (1:0)
17. Round,17/12/2016,17:30,A,West Bromwich Albion,2:0 (1:0)
18. Round,26/12/2016,15:00,H,Sunderland AFC,3:1 (1:0)
19. Round,31/12/2016,15:00,H,Middlesbrough FC,2:1 (0:0)
20. Round,02/01/2017,17:15,A,West Ham United,2:0 (0:0)
21. Round,15/01/2017,16:00,H,Liverpool FC,1:1 (0:1)
22. Round,21/01/2017,15:00,A,Stoke City,1:1 (0:1)
23. Round,01/02/2017,20:00,H,Hull City,0:0 (0:0)
24. Round,05/02/2017,16:00,A,Leicester City,3:0 (2:0)
25. Round,11/02/2017,15:00,H,Watford FC,2:0 (1:0)
27. Round,04/03/2017,12:30,H,AFC Bournemouth,1:1 (1:1)
29. Round,19/03/2017,12:00,A,Middlesbrough FC,3:1 (1:0)
30. Round,01/04/2017,15:00,H,West Bromwich Albion,0:0 (0:0)
31. Round,04/04/2017,20:00,H,Everton FC,1:1 (0:1)
32. Round,09/04/2017,13:30,A,Sunderland AFC,3:0 (1:0)
33. Round,16/04/2017,16:00,H,Chelsea FC,2:0 (1:0)
34. Round,23/04/2017,14:15,A,Burnley FC,2:0 (2:0)
26. Round,27/04/2017,20:00,A,Manchester City,0:0 (0:0)
35. Round,30/04/2017,12:00,H,Swansea City,1:1 (1:0)
36. Round,07/05/2017,16:00,A,Arsenal FC,0:2 (0:0)
37. Round,14/05/2017,16:30,A,Tottenham Hotspur,1:2 (0:1)
28. Round,17/05/2017,19:45,A,Southampton FC,0:0 (0:0)
38. Round,21/05/2017,15:00,H,Crystal Palace,2:0 (2:0)
3. Round,07/01/2017,12:30,H,Reading FC,4:0 (2:0)
4. Round,29/01/2017,16:00,H,Wigan Athletic,4:0 (1:0)
Round of 16,19/02/2017,16:15,A,Blackburn Rovers,2:1 (1:1)
Quarter-finals,13/03/2017,19:45,A,Chelsea FC,0:1 (0:0)
3. Round,21/09/2016,19:45,A,Northampton Town,3:1 (1:1)
Round of 16,26/10/2016,20:00,H,Manchester City,1:0 (0:0)
Quarter-finals,30/11/2016,20:00,H,West Ham United,4:1 (1:1)
Semi-finals,10/01/2017,20:00,H,Hull City,2:0 (0:0)
Semi-finals,26/01/2017,19:45,A,Hull City,1:2 (0:1)
Final,26/02/2017,16:30,N,Southampton FC,3:2 (2:1)
Final,07/08/2016,16:00,A,Leicester City,2:1 (1:0)
